la,lo,XJAVHRR_av,Vegetation,Variance_c,Slope,SD,Road_densi,Relative_E,Particle_s,Elevation,Distance_f,Curve_numb,Agricultur,level
43.713953,93.106771,0.308244,0.852369,0.61116,0.0093488,0.364214,0.0402389,0.007154,0.377816,0.215733,0.0254903,0.6,0.0076156,1
42.126747,81.677856,0.0860215,0.358843,0.611428,0.255176,0.418919,0.0498189,0.142768,0.235506,0.297735,0.0069331,0.6,0.0390391,1
45.521744,82.578735,0.111111,0.426688,0.61148,0.122014,0.329526,0.0427868,0.0849145,0.329067,0.187008,0.0246277,0.6,0.063541,2
48.429201,87.51709,0.637993,0.890207,0.611307,0.0759719,0.720421,0.0709445,0.044479,0.216732,0.231585,0.0045337,0.6,0.0168947,2
43.279267,82.688169,0.362007,0.848182,0.61136,0.0202631,0.556231,0.132134,0.0121306,0.211423,0.145173,0.0075178,0.6,0.0878689,1
43.278736,82.549682,0.333333,0.820733,0.611517,0.104226,0.531069,0.132134,0.0127527,0.204586,0.139452,0.0037123,0.769231,0.0878689,1
43.52842,82.866955,0.286738,0.823292,0.611201,0.007107,0.601156,0.131366,0.0012442,0.395333,0.1118,0.0014953,0.846154,0.0394589,1
43.380255,83.868856,0.275986,0.781422,0.611195,0.0234697,0.509671,0.189596,0.0121306,0.211423,0.148033,0.0019055,0.6,0.0863654,1
43.42556,83.522444,0.311828,0.813522,0.611396,0.0186804,0.640792,0.189596,0.0099533,0.288193,0.127056,0.0015363,0.738462,0.0863654,1
43.44566,83.262463,0.301075,0.621307,0.611266,0.0148026,0.691518,0.189596,0.007465,0.204586,0.119547,0.0110534,0.769231,0.0863654,1
43.418983,83.262849,0.315412,0.557572,0.611456,0.0430371,0.686168,0.189596,0.0348367,0.28572,0.131824,0.0110534,0.292308,0.0863654,1
43.430983,84.534302,0.580645,0.327285,0.611362,0.0515927,0.480261,0.131366,0.279316,0.493735,0.451371,0.0047913,0.292308,0.0394589,2
43.480826,87.429199,0.204301,0.780492,0.611234,0.0283681,0.500531,0.17686,0.0348367,0.204586,0.220501,0.0036068,0.6,0.0413166,2
46.658332,83.759165,0.401434,0.517485,0.611256,0.0126351,0.626879,0.0732078,0.0087092,0.329067,0.0912992,0.0034728,0.738462,0.131598,1
44.048116,83.111572,0.55914,0.758006,0.611651,0.22068,0.51155,0.131366,0.103266,0.493735,0.344934,0.0057701,0.6,0.0394589,1
44.209773,86.286621,0.344086,0.642785,0.611263,0.0206479,0.551657,0.122109,0.0090202,0.108459,0.0820024,0.0069952,0.738462,0.116435,3
43.798018,81.859989,0.247312,0.899822,0.611141,0.0064617,0.716458,0.120299,0.007465,0.281367,0.113111,0.0029995,0.6,0.157209,2
43.772147,81.810164,0.265233,0.869892,0.611171,0.0066252,0.725041,0.120299,0.0068429,0.159307,0.110727,0.0163027,0.6,0.157209,2
44.22552,86.050415,0.340502,0.664263,0.611296,0.0191641,0.548698,0.233884,0.0208398,0.422554,0.0862932,0.0101356,0.6,0.381208,1
43.991703,86.770878,0.354839,0.450958,0.611342,0.01649,0.451569,0.0865897,0.0136858,0.424154,0.117759,0.022821,0.6,0.10431,3
43.877046,86.393566,0.232975,0.529425,0.61146,0.0642538,0.517429,0.0865897,0.0547434,0.211423,0.184863,0.0099421,0.6,0.10431,1
44.154961,89.998841,0.344086,0.526867,0.611191,0.0060873,0.416152,0.0885723,0.0096423,0.377016,0.109178,0.0043759,0.292308,0.0685026,1
44.268805,86.671143,0.336918,0.5806,0.611164,0.0009087,0.458884,0.0865897,0.0015552,0.424154,0.0764005,0.0132361,0.6,0.10431,1
44.933696,80.639648,0.225806,0.506862,0.611705,0.189177,0.49374,0.0410487,0.138725,0.186768,0.284148,0.0089931,0.6,0.0477426,2
47.546872,86.088867,0.301075,0.330309,0.611294,0.0120745,0.733597,0.070954,0.0217729,0.329067,0.11764,0.0168142,0.292308,0.0181317,5
43.76316,81.057129,0.283154,0.443204,0.611212,0.0071204,0.753206,0.0507009,0.0080871,0.395333,0.0983313,0.0160192,0.6,0.149229,1
43.405047,82.304077,0.229391,0.693495,0.611269,0.0257444,0.440906,0.132134,0.0102644,0.225158,0.113468,0.0052796,0.738462,0.0878689,1
44.801327,85.995483,0.315412,0.335349,0.611227,0.0040134,0.461391,0.122109,0.0040436,1,0.0611442,0.0536385,0.292308,0.116435,3
44.621754,86.923828,0.336918,0.316198,0.611154,0.0019951,0.44079,0.0865897,0.0018662,0.349628,0.0653159,0.0798332,0.6,0.10431,3
43.963816,87.666779,0.27957,0.620299,0.611309,0.0214164,0.42899,0.0884083,0.01493,0.424154,0.0914184,0.0104844,0.846154,0.0371514,2
44.370987,89.044189,0.315412,0.364581,0.611144,0.0015097,0.389101,0.0930207,0.0027994,1,0.0860548,0.0448147,0.292308,0.0670652,1
46.331758,84.539795,0.11828,0.330309,0.61144,0.0564843,0.469526,0.0732078,0.066563,0.329067,0.141597,0.0219892,0.6,0.131598,2
45.767523,82.63916,0.344086,0.898581,0.61152,0.168777,0.475888,0.0427868,0.227372,0.302063,0.33528,0.0024147,0.6,0.063541,2
47.50978,87.945557,0.376344,0.338063,0.611261,0.0050661,0.871438,0.0810763,0.0199067,0.862875,0.0860548,0.0067684,0.6,0.0303656,1
46.653443,83.07724,0.340502,0.550283,0.611177,0.0044756,0.752156,0.103625,0.0115086,0.308121,0.0766389,0.001643,0.6,0.253707,1
46.301406,84.715576,0.100358,0.292549,0.61118,0.0099487,0.423707,0.0732078,0.0040436,0.35262,0.0946365,0.0749551,0.815385,0.131598,2
45.023068,86.358032,0.286738,0.324184,0.611229,0.0101235,0.43992,0.122109,0.0068429,1,0.0603099,0.105147,0.292308,0.116435,3
44.676466,86.97876,0.322581,0.363806,0.611168,0.0031548,0.441258,0.0865897,0.0049767,0.424154,0.0653159,0.125341,0.6,0.10431,1
44.496505,90.065918,0.215054,0.298907,0.611238,0.0059614,0.428334,0.0885723,0.0052877,0.349628,0.0908224,0.212079,0.8,0.0685026,2
44.441624,85.880127,0.329749,0.759246,0.611187,0.003387,0.536713,0.130436,0.0031104,0.0764587,0.0653159,0.009367,0.569231,0.132863,2
45.344424,82.990723,0.193548,0.576956,0.611572,0.0847695,0.340729,0.0491976,0.186936,0.235506,0.249106,0.0044834,0.6,0.0105269,2
44.902578,81.112061,0.261649,0.539971,0.61133,0.0717965,0.358644,0.0410487,0.0357698,0.204586,0.188796,0.0023295,0.6,0.0477426,2
44.758436,81.589966,0.179211,0.56044,0.611355,0.0732011,0.538713,0.126858,0.0395023,0.204586,0.220501,0.0115121,0.6,0.074322,1
44.221584,90.758057,0.27957,0.337986,0.611173,0.006661,0.412179,0.0080241,0.0059098,1,0.130393,0.163265,0.8,0.0336208,1
44.095476,89.571533,0.354839,0.682872,0.611185,0.0088344,0.413702,0.0885723,0.007154,0.350615,0.10143,0.0068375,0.738462,0.0685026,2
45.236218,84.023438,0.315412,0.354268,0.611457,0.048746,0.443124,0.0491976,0.0494557,0.37126,0.0989273,0.0547243,0.6,0.0105269,2
36.461032,81.223671,0.0286738,0.274172,0.61119,0.0139234,0.115258,0.0082835,0.0167963,0.862875,0.240167,0.0304591,0.8,0.0045557,0
36.594329,79.190333,0.0322581,0.363883,0.611816,0.440965,0.133834,0.0247599,0.181026,0.279788,0.384863,0.0097912,0.6,0.0011928,0
37.500195,81.28073,0.0071685,0.276809,0.611169,0.0088669,0.108891,0.0082835,0.0006221,1,0.17056,0.0321784,0.646154,0.0045557,0
37.497182,89.083064,0.0215054,0.282624,0.611149,0.0123511,0.127008,0.0214008,0.0087092,0.1967,0.483433,0.0068511,0.8,0.0003041,0
37.690125,79.640032,0.0107527,0.284175,0.611141,0.0013301,0.134222,0.008558,0.0049767,0.862875,0.16913,0.0822907,0.815385,0.0113021,0
37.702895,81.27472,0.0107527,0.278437,0.611158,0.0026686,0.109135,0.0082835,0.0021773,1,0.167938,0.0524533,0.646154,0.0045557,0
37.758633,80.852972,0.0107527,0.276188,0.611155,0.0026172,0.109721,0.0166896,0.0024883,1,0.165316,0.226379,0.815385,0.0168894,0
37.817094,78.814162,0.0143369,0.276809,0.611134,0.0008867,0.141485,0.0296861,0.0027994,1,0.170799,0.191289,0.646154,0.0058629,0
