RF,GBDT,SVM,KNN,XGB
0.0,0.007658709285384186,-0.07325208339927429,0.0,-0.0038164550191140735
0.0,-0.016719699370137182,0.06368941633819833,0.12,-0.013645667377568315
0.0,0.013227370011630532,-0.012770687717854468,0.0,-0.00578295524319401
0.0,0.014350003118907892,0.0724015230420964,0.16,0.0017700892771244981
0.0,0.193045563991371,-0.014668911008188035,0.0,0.13563954938581446
0.12000000000000002,0.11743382349608314,0.022886671911136892,0.0,0.022226949215109926
0.0,-0.001896780317841704,0.03524134475296152,0.04,-0.01838947460782947
0.26,0.26605377335598923,0.2519264135507234,0.28,0.29809833578765393
0.7,0.7604344070970475,0.28511710251538175,0.28,0.4505702694412321
0.24,0.3585004581802907,0.01517608009798609,0.04,0.2884278129087761
0.3,0.6101984867578942,0.2721729179858697,0.24,0.32125848491123177
0.26,0.33995102835291213,0.1356124953375819,0.04,0.22767287850147114
0.26,0.4371605531293459,-0.02025974748126025,0.04,0.5171623491623905
0.3,0.30867388558172915,0.3173752882215172,0.6399999999999999,0.2919736345895217
0.2,0.3052893540502019,-0.00165509202031347,0.04,0.3110873809127952
0.24,0.23462496026829385,0.02513197347504174,0.0,0.3122726194225834
0.3,0.2570970812911425,0.02559966622325367,0.04,0.12406128914444707
0.3,0.20015306850427073,0.0841130063194302,0.0,0.1883548334284569
0.72,0.4916085203541808,0.28304979426970317,0.8400000000000001,0.5905821176289464
0.6000000000000001,0.48241645440127323,0.28095101684807033,0.6399999999999999,0.4424970256208326
0.12,0.11802682086144219,0.07428375079923014,0.0,0.10912173334072577
0.1,0.11216282986558371,0.06829950016678456,0.12,0.17583030443638564
0.18,0.37375999775050694,0.04939310152514855,0.04,0.158166722668102
0.15999999999999998,0.41403349497627895,0.10651097515025602,0.0,0.24718928557267644
0.26000000000000006,0.2672649358453335,0.18862237971805823,0.16,0.20857325968681834
0.04,0.015302346305992243,0.088184026804196,0.0,-0.002378406930074561
0.24,0.047066279676814746,0.0942997614517513,0.08,0.011510531049862039
0.0,0.07495926706404779,0.09522081665641105,0.12,0.0006006342024193146
0.48,0.42607903106009,0.35424936167005605,0.6,0.36542659436236136
0.33999999999999997,0.45337072752421104,0.39593185838803197,0.6,0.5003842275415081
0.1,0.1854882821891053,0.07655633886692108,0.36000000000000004,0.15645265523780835
0.13999999999999999,-0.02176265435847976,0.045803011001334645,0.0,-0.01464314445038326
0.36,0.42131943426453555,0.36951920765905205,0.36,0.3511213712277822
1.1199999999999999,1.42113049126197,0.6413440253144751,2.0,1.814865486038616
0.72,0.6628284082842519,0.2560475661990031,0.24000000000000005,0.5231736812274903
0.45999999999999996,0.38512422277763175,0.1366744836171947,0.32,0.38771639941260216
0.36000000000000004,0.17652476225044214,0.13893266950326727,0.24,0.15169115373573733
0.45999999999999996,0.4953874405334716,0.2880328692022533,0.32,0.42349285815726034
0.6,0.3722941486559449,0.4970635592050769,0.44000000000000006,0.4218790760263801
1.08,0.4588790081379524,0.25300264103147274,0.48,0.8026614349335432
0.9399999999999998,0.9549589959305773,0.7710275412702743,0.4,0.6872469469904899
0.6599999999999999,0.5938560969298943,0.767573060695522,0.72,0.9556649418547749
